target	source	value
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	GEOGRAPHY	5
HUMANITIES 1	GEOGRAPHY	2
SOCIAL SCIENCES	GEOGRAPHY	3
SOCIAL SCIENCES 1	GEOGRAPHY	11
SOCIOLOGY	GEOGRAPHY	2
GEOGRAPHY & SOCIAL WORK	GEOGRAPHY & SOCIAL WORK	2
SOCIAL SCIENCES 1	GEOGRAPHY & SOCIAL WORK	2
GERIATRIC MEDICINE	GERIATRIC MEDICINE	3
HEALTH, AGING & SOCIETY	HEALTH, AGING & SOCIETY	16
HONOURS GERONTOLOGY	HEALTH, AGING & SOCIETY	2
HONOURS HEALTH STUDIES	HEALTH, AGING & SOCIETY	3
SOCIAL SCIENCES	HEALTH, AGING & SOCIETY	8
SOCIAL SCIENCES 1	HEALTH, AGING & SOCIETY	11
HEALTH, AGING & SOCIETY & SOCIAL WORK	HEALTH, AGING & SOCIETY & SOCIAL WORK	14
SOCIAL SCIENCES 1	HEALTH, AGING & SOCIETY & SOCIAL WORK	4
HEMATOLOGY - ONCOLOGY/PEDIATRICS	HEMATOLOGY - ONCOLOGY/PEDIATRICS	3
HISTORY	HISTORY	24
HONOURS HISTORY	HISTORY	4
HONOURS MUSIC	HISTORY	2
HUMANITIES 1	HISTORY	10
HISTORY & SOCIAL WORK	HISTORY & SOCIAL WORK	2
ENGINEERING 1 CO-OP	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	4
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	46
LIFE SCIENCES 1	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	5
MATHEMATICAL SCIENCE	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	4
MATHEMATICS & STATISTICS 1	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	31
PHYSICAL SCIENCES 1	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	2
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS (CO-OP)	12
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS (CO-OP)	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS (CO-OP)	10
ANTHROPOLOGY	HONOURS ANTHROPOLOGY	4
HONOURS ANTHROPOLOGY	HONOURS ANTHROPOLOGY	71
HUMANITIES 1	HONOURS ANTHROPOLOGY	8
PSYCHOLOGY	HONOURS ANTHROPOLOGY	4
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY	26
HONOURS ANTHROPOLOGY & GEOGRAPHY	HONOURS ANTHROPOLOGY & GEOGRAPHY	2
HONOURS ANTHROPOLOGY & POLITICAL SCIENCE	HONOURS ANTHROPOLOGY & POLITICAL SCIENCE	4
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY & POLITICAL SCIENCE	3
HONOURS ANTHROPOLOGY & PSYCHOLOGY	HONOURS ANTHROPOLOGY & PSYCHOLOGY	2
HONOURS ANTHROPOLOGY & RELIGIOUS STUDIES	HONOURS ANTHROPOLOGY & RELIGIOUS STUDIES	3
HONOURS ANTHROPOLOGY & SOCIOLOGY	HONOURS ANTHROPOLOGY & SOCIOLOGY	12
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY & SOCIOLOGY	8
HONOURS ART HISTORY	HONOURS ART HISTORY	9
HUMANITIES	HONOURS ART HISTORY	2
HUMANITIES 1	HONOURS ART HISTORY	5
HONOURS ART HISTORY & CLASSICS	HONOURS ART HISTORY & CLASSICS	4
HONOURS ART HISTORY & ENGLISH	HONOURS ART HISTORY & ENGLISH	5
HUMANITIES 1	HONOURS ART HISTORY & HISTORY	2
HONOURS ART HISTORY & MULTIMEDIA	HONOURS ART HISTORY & MULTIMEDIA	2
HUMANITIES 1	HONOURS ART HISTORY & MULTIMEDIA	2
HONOURS ART HISTORY & THEATRE & FILM STUDIES	HONOURS ART HISTORY & THEATRE & FILM STUDIES	2
HONOURS ART STUDIO	HONOURS ART STUDIO	37
STUDIO ART I	HONOURS ART STUDIO	28
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE	35
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE	67
HONOURS ARTS & SCIENCE & PHILOSOPHY	HONOURS ARTS & SCIENCE	2
HONOURS ARTS & SCIENCE & PSYCHOLOGY	HONOURS ARTS & SCIENCE	2
HONOURS ARTS & SCIENCE & BIOCHEMISTRY	HONOURS ARTS & SCIENCE & BIOCHEMISTRY	3
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE & BIOLOGY	2
HONOURS ARTS & SCIENCE & BIOLOGY	HONOURS ARTS & SCIENCE & BIOLOGY	5
HONOURS ARTS & SCIENCE & CHEMICAL BIOLOGY	HONOURS ARTS & SCIENCE & CHEMICAL BIOLOGY	3
HONOURS ARTS & SCIENCE & ENGLISH	HONOURS ARTS & SCIENCE & ENGLISH	3
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & ENVIRONMENTAL SCIENCE	2
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & FRENCH	3
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & MATHEMATICS	2
HONOURS ARTS & SCIENCE & MATHEMATICS	HONOURS ARTS & SCIENCE & MATHEMATICS	4
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & MOLECULAR BIOLOGY & GENETICS	4
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & ORIGINS	4
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE & ORIGINS	3
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & POLITICAL SCIENCE	3
HONOURS ARTS & SCIENCE & POLITICAL SCIENCE	HONOURS ARTS & SCIENCE & POLITICAL SCIENCE	4
ARTS & SCIENCE 1	HONOURS ARTS & SCIENCE & PSYCHOLOGY	6
HONOURS ARTS & SCIENCE	HONOURS ARTS & SCIENCE & PSYCHOLOGY	2
HONOURS ARTS & SCIENCE & PSYCHOLOGY	HONOURS ARTS & SCIENCE & PSYCHOLOGY	5
HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	17
HONOURS BACHELOR OF HEALTH SCIENCES	HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	19
HONOURS B HTH SCI (CHILD HEALTH SPECIALIZATION)	HONOURS B HTH SCI (CHILD HEALTH SPECIALIZATION)	26
HONOURS BACHELOR OF HEALTH SCIENCES	HONOURS B HTH SCI (CHILD HEALTH SPECIALIZATION)	16
HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	54
HONOURS BACHELOR OF HEALTH SCIENCES	HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	15
COMMERCE	HONOURS BACHELOR OF COMMERCE	472
HONOURS BACHELOR OF COMMERCE	HONOURS BACHELOR OF COMMERCE	451
HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	HONOURS BACHELOR OF HEALTH SCIENCES	4
HONOURS B HTH SCI (CHILD HEALTH SPECIALIZATION)	HONOURS BACHELOR OF HEALTH SCIENCES	2
HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	HONOURS BACHELOR OF HEALTH SCIENCES	2
HONOURS BACHELOR OF HEALTH SCIENCES	HONOURS BACHELOR OF HEALTH SCIENCES	411
LIFE SCIENCES 1	HONOURS BACHELOR OF HEALTH SCIENCES	18
HONOURS BIOCHEMISTRY	HONOURS BIOCHEMISTRY	99
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	HONOURS BIOCHEMISTRY	17
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	HONOURS BIOCHEMISTRY	4
HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	HONOURS BIOCHEMISTRY	8
HONOURS BIOCHEMISTRY (BIOTECHNOLOGY)	HONOURS BIOCHEMISTRY	2
HONOURS CHEMICAL BIOLOGY	HONOURS BIOCHEMISTRY	6
LIFE SCIENCES 1	HONOURS BIOCHEMISTRY	79
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	31
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	2
LIFE SCIENCES 1	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	29
HONOURS BIOCHEMISTRY	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	6
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	14
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	33
HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	3
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS BIOLOGY	3
HONOURS BIOLOGY	HONOURS BIOLOGY	117
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	HONOURS BIOLOGY	15
HONOURS CHEMICAL BIOLOGY	HONOURS BIOLOGY	2
HONOURS LIFE SCIENCES	HONOURS BIOLOGY	7
HONOURS MOLECULAR BIOLOGY & GENETICS	HONOURS BIOLOGY	8
LIFE SCIENCES 1	HONOURS BIOLOGY	34
SCIENCE	HONOURS BIOLOGY	3
ENVIRONMENTAL & EARTH SCIENCES 1	HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	3
HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	HONOURS BIOLOGY & ENVIRONMENTAL SCIENCES	15
HONOURS BIOLOGY & MATHEMATICS	HONOURS BIOLOGY & MATHEMATICS	10
HONOURS BIOLOGY	HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	4
HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	35
HONOURS LIFE SCIENCES	HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	6
HONOURS MOLECULAR BIOLOGY & GENETICS	HONOURS BIOLOGY & PHARMACOLOGY (CO-OP)	7
HONOURS BIOLOGY & PSYCHOLOGY	HONOURS BIOLOGY & PSYCHOLOGY	62
LIFE SCIENCES 1	HONOURS BIOLOGY & PSYCHOLOGY	34
HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	3
LIFE SCIENCES 1	HONOURS BIOLOGY (ORIGINS RESEARCH SPECIALIZATION)	2
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	24
HONOURS LIFE SCIENCES	HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	2
LIFE SCIENCES 1	HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	17
HONOURS PHYSICS (BIOPHYSICS SPECIALIZATION)	HONOURS BIOPHYSICS CO-OP	2
HONOURS BUSINESS INFORMATICS	HONOURS BUSINESS INFORMATICS	4
COMPUTER SCIENCE 1 CO-OP	HONOURS BUSINESS INFORMATICS CO-OP	4
