target	source	value
HUMANITIES 1	HONOURS COMMUNICATION STUDIES	58
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & ANTHROPOLOGY	2
HUMANITIES 1	HONOURS COMMUNICATION ST & CULTURAL ST AND CRITICAL THEORY	3
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & ENGLISH	6
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & FRENCH	2
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & HEALTH STUDIES	1
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & HISTORY	3
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & MULTIMEDIA	18
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & LINGUISTICS	1
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & LINGUISTIC COGNITIVE SCIENCE	3
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & PEACE STUDIES	2
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & PHILOSOPHY	2
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	2
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & PSYCHOLOGY	1
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & SOCIOLOGY	4
HUMANITIES 1	HONOURS COMMUNICATION STUDIES & THEATRE & FILM STUDIES	8
HUMANITIES 1	HONOURS ENGLISH	25
HUMANITIES 1	HONOURS ENGLISH & FRENCH	1
HUMANITIES 1	HONOURS ENGLISH & HISTORY	11
HUMANITIES 1	HONOURS ENGLISH & MULTIMEDIA	1
HUMANITIES 1	HONOURS ENGLISH & LINGUISTICS	1
HUMANITIES 1	HONOURS ENGLISH & PHILOSOPHY	2
HUMANITIES 1	HONOURS ENGLISH & POLITICAL SCIENCE	1
HUMANITIES 1	HONOURS ENGLISH & SOCIOLOGY	1
HUMANITIES 1	HONOURS ENGLISH & THEATRE & FILM STUDIES	3
HUMANITIES 1	HONOURS FRENCH	2
HUMANITIES 1	HONOURS FRENCH & HISTORY	1
HUMANITIES 1	HONOURS FRENCH & LINGUISTICS	3
HUMANITIES 1	HONOURS FRENCH & POLITICAL SCIENCE	1
HUMANITIES 1	HONOURS FRENCH & SOCIOLOGY	1
HUMANITIES 1	HONOURS GEOGRAPHY	2
HUMANITIES 1	HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	2
HUMANITIES 1	HONOURS GERONTOLOGY & COGNITIVE SCIENCE OF LANGUAGE	1
HUMANITIES 1	HONOURS GERONTOLOGY & SOCIOLOGY	1
HUMANITIES 1	HONOURS HEALTH STUDIES	2
HUMANITIES 1	HONOURS HEALTH STUDIES & GERONTOLOGY	2
HUMANITIES 1	HONOURS HEALTH STUDIES & HISTORY	1
HUMANITIES 1	HONOURS HISTORY	28
HUMANITIES 1	HONOURS HISTORY & ANTHROPOLOGY	2
HUMANITIES 1	HONOURS HISTORY & GEOGRAPHY	1
HUMANITIES 1	HONOURS HISTORY & PEACE STUDIES	1
HUMANITIES 1	HONOURS HISTORY & PHILOSOPHY	2
HUMANITIES 1	HONOURS HISTORY & POLITICAL SCIENCE	5
HUMANITIES 1	HONOURS HISTORY & RELIGIOUS STUDIES	2
HUMANITIES 1	HONOURS HISTORY & SOCIOLOGY	2
HUMANITIES 1	HONOURS HISTORY & THEATRE & FILM STUDIES	3
HUMANITIES 1	HONOURS MULTIMEDIA	7
HUMANITIES 1	HONOURS MULTIMEDIA & THEATRE & FILM STUDIES	3
HUMANITIES 1	JUSTICE, POLITICAL PHILOSOPHY AND LAW	37
HUMANITIES 1	HONOURS LINGUISTICS	6
HUMANITIES 1	HONOURS LINGUISTICS & PHILOSOPHY	1
HUMANITIES 1	HONOURS LINGUISTICS & THEATRE & FILM STUDIES	1
HUMANITIES 1	HONOURS COGNITIVE SCIENCE OF LANGUAGE	23
HUMANITIES 1	HONOURS COGNITIVE SCIENCE OF LANGUAGE & FRENCH	1
HUMANITIES 1	HONOURS COGNITIVE SCIENCE OF LANGUAGE & POLITICAL SCIENCE	1
HUMANITIES 1	HONOURS COGNITIVE SCIENCE OF LANGUAGE & SOCIOLOGY	1
HUMANITIES 1	HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	1
HUMANITIES 1	HONOURS PEACE STUDIES & PHILOSOPHY	2
HUMANITIES 1	HONOURS PHILOSOPHY	8
HUMANITIES 1	HONOURS PHILOSOPHY & ANTHROPOLOGY	1
HUMANITIES 1	HONOURS PHILOSOPHY & ECONOMICS	1
HUMANITIES 1	HONOURS PHILOSOPHY & POLITICAL SCIENCE	3
HUMANITIES 1	HONOURS POLITICAL SCIENCE	9
HUMANITIES 1	HONOURS POLITICAL SCIENCE & THEATRE & FILM STUDIES	1
HUMANITIES 1	HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	1
HUMANITIES 1	HONOURS SOCIOLOGY	8
HUMANITIES 1	HONOURS SOCIOLOGY & THEATRE & FILM STUDIES	1
HUMANITIES 1	HONOURS THEATRE & FILM STUDIES	2
HUMANITIES 1	HONOURS LABOUR STUDIES	2
HUMANITIES 1	HONOURS LABOUR STUDIES & GEOGRAPHY	1
SOCIAL SCIENCES 1	NULL	261
SOCIAL SCIENCES 1	COMPUTER SCIENCE 1	1
SOCIAL SCIENCES 1	ENVIRONMENTAL & EARTH SCIENCES 1	1
SOCIAL SCIENCES 1	MUSIC 1	1
SOCIAL SCIENCES 1	STUDIO ART I	1
SOCIAL SCIENCES 1	HUMANITIES 1	5
SOCIAL SCIENCES 1	SOCIAL SCIENCES 1	68
SOCIAL SCIENCES 1	ANTHROPOLOGY	11
SOCIAL SCIENCES 1	ANTHROPOLOGY & SOCIAL WORK	4
SOCIAL SCIENCES 1	ENVIRONMENTAL SCIENCES	1
SOCIAL SCIENCES 1	ECONOMICS	22
SOCIAL SCIENCES 1	ENGLISH	1
SOCIAL SCIENCES 1	GEOGRAPHY	11
SOCIAL SCIENCES 1	GEOGRAPHY & SOCIAL WORK	2
SOCIAL SCIENCES 1	HEALTH, AGING & SOCIETY	11
SOCIAL SCIENCES 1	HEALTH, AGING & SOCIETY & SOCIAL WORK	4
SOCIAL SCIENCES 1	HUMANITIES	4
SOCIAL SCIENCES 1	INDIGENOUS STUDIES & PSYCHOLOGY	1
SOCIAL SCIENCES 1	INDIGENOUS STUDIES & SOCIOLOGY & SOCIAL WORK	1
SOCIAL SCIENCES 1	LIFE SCIENCES	5
SOCIAL SCIENCES 1	MATHEMATICAL SCIENCE	2
SOCIAL SCIENCES 1	PHILOSOPHY	2
SOCIAL SCIENCES 1	PHYSICAL SCIENCES	1
SOCIAL SCIENCES 1	POLITICAL SCIENCE	16
SOCIAL SCIENCES 1	POLITICAL SCIENCE & SOCIAL WORK	3
SOCIAL SCIENCES 1	PSYCHOLOGY	61
SOCIAL SCIENCES 1	PSYCHOLOGY & SOCIAL WORK	1
SOCIAL SCIENCES 1	RELIGIOUS STUDIES	6
SOCIAL SCIENCES 1	RELIGIOUS STUDIES & SOCIAL WORK	1
SOCIAL SCIENCES 1	SCIENCE	2
SOCIAL SCIENCES 1	SOCIOLOGY	49
SOCIAL SCIENCES 1	SOCIOLOGY & SOCIAL WORK	6
SOCIAL SCIENCES 1	SOCIAL SCIENCES	44
SOCIAL SCIENCES 1	THEATRE & FILM STUDIES	3
SOCIAL SCIENCES 1	LABOUR STUDIES	11
SOCIAL SCIENCES 1	LABOUR STUDIES & SOCIAL WORK	1
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY	26
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY & GEOGRAPHY	1
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY & POLITICAL SCIENCE	3
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY & RELIGIOUS STUDIES	1
SOCIAL SCIENCES 1	HONOURS ANTHROPOLOGY & SOCIOLOGY	8
SOCIAL SCIENCES 1	HONOURS ART HISTORY & CULTURAL STUDIES & CRITICAL THEORY	1
SOCIAL SCIENCES 1	HONOURS CLASSICS & PSYCHOLOGY	1
SOCIAL SCIENCES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & ANTHROPOLOGY	1
SOCIAL SCIENCES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & PHILOSOPHY	1
SOCIAL SCIENCES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & POLITICAL SCI	1
SOCIAL SCIENCES 1	HONOURS CULTURAL STUDIES & CRITICAL THEORY & SOCIOLOGY	2
SOCIAL SCIENCES 1	COMMERCE	18
SOCIAL SCIENCES 1	HONOURS ECONOMICS	43
SOCIAL SCIENCES 1	HONOURS ECONOMICS & COMPUTER SCIENCE	1
SOCIAL SCIENCES 1	HONOURS ECONOMICS & GEOGRAPHY	3
SOCIAL SCIENCES 1	HONOURS ECONOMICS & POLITICAL SCIENCE	4
SOCIAL SCIENCES 1	HONOURS COMMUNICATION STUDIES	15
SOCIAL SCIENCES 1	HONOURS COMMUNICATION STUDIES & GERONTOLOGY	1
SOCIAL SCIENCES 1	HONOURS COMMUNICATION STUDIES & MULTIMEDIA	2
SOCIAL SCIENCES 1	HONOURS COMMUNICATION STUDIES & POLITICAL SCIENCE	6
SOCIAL SCIENCES 1	HONOURS COMMUNICATION STUDIES & RELIGIOUS STUDIES	1
SOCIAL SCIENCES 1	HONOURS COMMUNICATION STUDIES & SOCIOLOGY	7
SOCIAL SCIENCES 1	HONOURS ENGLISH	3
SOCIAL SCIENCES 1	HONOURS ENGLISH & ANTHROPOLOGY	1
SOCIAL SCIENCES 1	HONOURS ENGLISH & SOCIOLOGY	1
SOCIAL SCIENCES 1	HONOURS FRENCH & POLITICAL SCIENCE	1
SOCIAL SCIENCES 1	HONOURS FRENCH & SOCIOLOGY	1
